timestamp,carts_1/CPU_usage,carts_1/MEM_usage,carts_1/Cached_MEM_usage,carts_1/NET_Input,carts_1/NET_Output,carts_1/FS_reads,carts:80/request_duration_seconds_count,carts:80/request_duration_seconds_bucket
1.54E+09,0.034297625,3.97E+08,1249280,141.6363636,4704.818182,0,0,0
1.54E+09,0.032678311,3.97E+08,1249280,141.6389389,4704.885543,0,0,0
1.54E+09,0.033701849,3.97E+08,1249280,141.6363636,4704.945455,0,0,0
1.54E+09,0.032952201,3.97E+08,1249280,141.6364,4704.945455,0,0,0
1.54E+09,0.030830812,3.97E+08,1249280,141.6337885,4704.859912,0,0,0
1.54E+09,0.03120479,3.97E+08,1249280,141.6363636,4705.036364,0,0,0
1.54E+09,0.031264628,3.97E+08,1249280,141.6363636,4704.927273,0,0,0
1.54E+09,0.031034617,3.97E+08,1249280,141.6363636,4704.909091,0,0,0
1.54E+09,0.034008586,3.97E+08,1249280,141.6363636,4705.018182,0,0,0
1.54E+09,0.033488491,3.97E+08,1249280,141.6363636,4705,0,0,0
1.54E+09,0.03244343,3.97E+08,1249280,141.6363636,4705,0,0,0
1.54E+09,0.033717692,3.97E+08,1249280,141.6363636,4705.054545,0,0,0
1.54E+09,0.03335531,3.97E+08,1249280,141.6363636,4705.018182,0,0,0
1.54E+09,0.032009967,3.97E+08,1249280,141.6363636,4705,0,0,0
1.54E+09,0.032816615,3.97E+08,1249280,141.6389389,4705.085547,0,0,0
1.54E+09,0.031977567,3.97E+08,1249280,207.6363636,4770.927273,0,0,0
1.54E+09,0.033895745,3.97E+08,1249280,249.6363636,4812.945455,0,0,0
1.54E+09,0.033807978,3.97E+08,1249280,260.4363636,4823.709091,0,0,0
1.54E+09,0.033587229,3.97E+08,1249280,260.4363636,4823.636364,0,0,0
1.54E+09,0.033560436,3.97E+08,1249280,265.3818182,4828.836364,0,0,0
1.54E+09,0.033991265,3.97E+08,1249280,266.5818182,4830.036364,0,0,0
1.54E+09,0.031082803,3.97E+08,1249280,158.5818182,4722.054545,0,0,0
1.54E+09,0.031527642,3.97E+08,1249280,147.7818182,4711.181818,0,0,0
1.54E+09,0.033447403,3.97E+08,1249280,147.7818182,4711.181818,0,0,0
1.54E+09,0.033004486,3.97E+08,1249280,145.2363636,4708.690909,0,0,0
1.54E+09,0.032171122,3.97E+08,1249280,142.8363636,4705.963636,0,0,0
1.54E+09,0.03208891,3.97E+08,1249280,141.6363636,4704.745455,0,0,0
1.54E+09,0.032393664,3.97E+08,1249280,141.6363636,4704.781818,0,0,0
1.54E+09,0.030876513,3.97E+08,1249280,141.6363636,4704.818182,0,0,0
1.54E+09,0.031289959,3.97E+08,1249280,141.6363636,4704.781818,0,0,0
1.54E+09,0.029943555,3.97E+08,1249280,141.6363636,4704.745455,0,0,0
1.54E+09,0.029557034,3.96E+08,1249280,141.6363636,4704.781818,0,0,0
1.54E+09,0.030384699,3.93E+08,1249280,141.6363636,4704.763636,0,0,0
1.54E+09,0.029605992,3.89E+08,1249280,141.6363636,4704.690909,0,0,0
1.54E+09,0.03122939,3.86E+08,1249280,141.6363636,4704.727273,0,0,0
1.54E+09,0.032331645,3.86E+08,1249280,141.6389389,4704.794633,0,0,0
1.54E+09,0.031898765,3.86E+08,1249280,141.6337885,4704.550826,0,0,0
1.54E+09,0.031547791,3.86E+08,1249280,141.6363636,4704.418182,0,0,0
1.54E+09,0.048499146,3.86E+08,1249280,141.6363636,4704.381818,0,0,0
1.54E+09,0.048660412,3.86E+08,1249280,141.6363636,4704.454545,0,0,0
1.54E+09,0.04569736,3.86E+08,1249280,141.6363636,4704.490909,0,0,0
1.54E+09,0.04731717,3.86E+08,1249280,141.6363636,4704.490909,0,0,0
1.54E+09,0.046794196,3.85E+08,1249280,141.6363636,4704.563636,0,0,0
1.54E+09,0.046085361,3.85E+08,1249280,141.6363636,4704.8,0,0,0
1.54E+09,0.031089312,3.85E+08,1249280,141.6363636,4704.8,0,0,0
1.54E+09,0.032093597,3.85E+08,1249280,207.6363636,4770.563636,0,0,0
1.54E+09,0.031978159,3.85E+08,1249280,249.6363636,4812.581818,0,0,0
1.54E+09,0.032720442,3.85E+08,1249280,260.4363636,4823.381818,0,0,0
1.54E+09,0.033073702,3.85E+08,1249280,260.4363636,4823.4,0,0,0
